Pick and Ban Order - LCK 2024 Spring,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD


Week 5,OKSavingsBank BRION,Kwangdong Freecs,2 - 1,1,14.3,Senna,Varus,Hwei,Poppy,Kalista,Lucian,Azir,"K'Sante, Vi","Sejuani, Aatrox",Aurelion Sol,Kai'Sa,Smolder,Zeri,Ashe,Ezreal,"Xayah, Rakan",Karma,Mid,Jungle,Top,Bot,Support,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/WIX7ZyF2-pI?si=_exsypUXuF21L7As&t=9019
Week 5,Kwangdong Freecs,OKSavingsBank BRION,1 - 1,1,14.3,Varus,Kalista,Lucian,Hwei,Sejuani,Senna,Vi,"Azir, Smolder","K'Sante, Aurelion Sol",Poppy,Ashe,Maokai,Karma,Aatrox,Nautilus,"Miss Fortune, Alistar",Xin Zhao,Jungle,Top,Mid,Bot,Support,Mid,Bot,Top,Support,Jungle,SB,https://www.youtube.com/live/WIX7ZyF2-pI?si=AHz-1YCO3B6bZzMf&t=5916
Week 5,OKSavingsBank BRION,Kwangdong Freecs,1 - 0,1,14.3,Hwei,Sejuani,Kalista,Varus,Senna,Lucian,Azir,"Smolder, Vi","Poppy, K'Sante",Nautilus,Ashe,Taliyah,Ezreal,Aatrox,Aurelion Sol,"Kai'Sa, Maokai",Garen,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/WIX7ZyF2-pI?si=WY71Nis7H0NCeRR4&t=2952
Week 5,Dplus KIA,DRX,2 - 1,1,14.3,Sejuani,Rell,Ashe,Azir,Kalista,Varus,Senna,"Nautilus, Orianna","Karma, Lee Sin",Smolder,Aatrox,Nocturne,Maokai,Poppy,Xin Zhao,"Tahm Kench, K'Sante",Malphite,Bot,Mid,Jungle,Support,Top,Support,Mid,Bot,Jungle,Top,SB,https://www.youtube.com/live/pYH5V8T-7BA?si=EIeivTWHkxTaY_Wj&t=21057
Week 5,DRX,Dplus KIA,1 - 1,1,14.3,Vi,Senna,Rell,Sejuani,Kalista,Orianna,Azir,"Lucian, Maokai","Varus, Nautilus",Nami,Udyr,Aatrox,Lee Sin,Poppy,Hwei,"K'Sante, Nocturne",Gnar,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/pYH5V8T-7BA?si=Uw4CqLVfJt1BQMWM&t=9040
Week 5,DRX,Dplus KIA,0 - 1,2,14.3,Vi,Senna,Rell,Ashe,Kalista,Lucian,Sejuani,"Azir, Aatrox","Yone, Gwen",Maokai,Smolder,Varus,Nautilus,Zeri,Rakan,"Jinx, Tahm Kench",Kai'Sa,Jungle,Mid,Top,Bot,Support,Mid,Top,Jungle,Support,Bot,SB,https://www.youtube.com/live/pYH5V8T-7BA?si=0ZgGSJ6Jg2ed39H9&t=1740
Week 5,Gen.G,FearX,2 - 0,1,14.3,Kalista,Senna,Ashe,Lucian,Rakan,Smolder,Azir,"Nautilus, Varus","Zeri, Alistar",K'Sante,Twisted Fate,Sejuani,Poppy,Tristana,Nocturne,"Lee Sin, Udyr",Taliyah,Mid,Bot,Support,Jungle,Top,Support,Bot,Top,Jungle,Mid,SB,https://www.youtube.com/live/1j5reTNDnTc?si=rwQmTtzFyIN3SPHZ&t=15345
Week 5,Gen.G,FearX,1 - 0,1,14.3,Kalista,Senna,Ashe,Twisted Fate,Rakan,Lucian,Smolder,"Nautilus, Azir","Alistar, K'Sante",Zeri,Taliyah,Udyr,Akali,Vi,Nocturne,"Aurelion Sol, Lee Sin",Poppy,Bot,Support,Top,Mid,Jungle,Support,Mid,Bot,Jungle,Top,SB,https://www.youtube.com/live/1j5reTNDnTc?si=dTbsIkOXO617hDhe&t=11971
Week 5,KT Rolster,T1,0 - 2,2,14.3,Aatrox,Senna,Ashe,Taliyah,Kalista,Udyr,Varus,"Orianna, K'Sante","Azir, Gnar",Vi,Lee Sin,Zeri,Viego,Lucian,Smolder,"Wukong, Nautilus",Alistar,Bot,Mid,Top,Jungle,Support,Mid,Top,Jungle,Bot,Support,SB,https://www.youtube.com/live/1j5reTNDnTc?si=DphjfR4GZp58qzIe&t=5926
Week 5,T1,KT Rolster,1 - 0,1,14.3,Taliyah,Orianna,Viego,Ashe,Azir,Hwei,Senna,"Karma, Kalista","Nautilus, Aatrox",Renata Glasc,Rell,K'Sante,Twisted Fate,Lee Sin,Udyr,"Corki, Poppy",Xin Zhao,Bot,Support,Top,Mid,Jungle,Mid,Bot,Support,Top,Jungle,SB,https://www.youtube.com/live/1j5reTNDnTc?si=OgGYVWEjwDEa_2ZS&t=2724
